Stationen vom: 10.08.2015
"Stationscode";"Stationsname";"Kategorie";"Synonym";"Aktiv seit ";"Aktivitätsperiode: von ";"Aktivitätsperiode: bis";"Verlegt";"Straße";"Nr";"PLZ";"Ort";"Länge dezimal";"Breite dezimal";"Höhe";"Stationsumgebung (EoI)";"Art der Station (EoI)";"Einwohnerzahl (EoI)";"Abstand zur Straße (EoI)";"Bemerkung (EoI)";"Lokaler Code";"EMEP-Code";"O3-Klasse aus UBA FE";"NO/NO2-Klasse aus UBA FE";"Bemerkung des UBA(1)";"Bemerkung des UBA(2)";"Bemerkung des Netzbetreibers";"AEI-Station";"AEI-von";"AEI-bis";"ersetzt AEI-Station";"Amtlicher Gemeindeschlüssel (AGS)";"Gemeindenamen";"Entfernung von einer verkehrsreichen Kreuzung in Metern";"Geschätztes Verkehrsaufkommen (Anzahl der Fahrzeuge pro Tag)";"Waagrechte Entfernung vom nächsten Gebäude in Metern";"Entfernung von der nächsten Straße in Metern";"Entfernung von der wichtigsten Industriequelle in Metern";"Quelle 1 (Hauptquelle)";"Quelle 1 (Hauptquelle) - ID";"Gasförmige Schadstoffe";"Partikelförmige Schadstoffe";"Deposition";"Umweltmonitoring-Typ";
"DEBB001";"Burg (Spreewald)";"Luftmessstation";"BUCH";"01.01.1993";"01.01.1993";"19.05.2003";"nein";"Bahnhofstr.";"9";"03096";"Burg";"14,141703";"51,837590";"54";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"eingezäuntes Gelände, aber gut sichtbar";"213";"";"ST";"";"";"";"";"nein";"";"";"";"12071032";"Burg (Spreewald)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB002";"Brandenburg-Nord";"Luftmessstation";"BRGU";"01.02.1991";"01.02.1991";"30.06.1994";"nein";"GutsMuthsstraße";"";"14470";"Brandenburg";"12,560379";"52,420960";"31";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"106";"No";"";"";"";"";"";"nein";"";"";"";"12051000";"Brandenburg an der Havel";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB003";"Brandenburg a.d. Havel";"Luftmessstation";"BRPI";"01.03.1991";"01.03.1991";"07.06.2001";"nein";"Gertrud-Pieter-Platz";"9";"14770";"Brandenburg";"12,544441";"52,412114";"33";"städtisches Gebiet";"Verkehr";"";">10-50 m";"";"114";"No";"ST";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12051000";"Brandenburg an der Havel";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBB004";"Cottbus-LUA";"Luftmessstation";"COUA";"01.01.1991";"01.01.1991";"31.12.2003";"nein";"Am Nordrand";"45";"03044";"Cottbus";"14,327692";"51,778045";"68";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"201";"No";"";"";"";"";"nach Schließung teilweise Staubmesspunkt (Ruß,PAX,Metalle)";"nein";"";"";"";"12052000";"Cottbus";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBB005";"Cottbus-City (-Mitte)";"Luftmessstation";"COCY";"01.01.1991";"01.01.1991";"31.03.1997";"nein";"Karl-Liebknecht-Str.";"136";"03046";"Cottbus";"14,331685";"51,757900";"74";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"212";"No";"";"";"";"";"";"nein";"";"";"";"12052000";"Cottbus";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB006";"Cottbus-Süd";"Luftmessstation";"COWE";"01.11.1992";"01.11.1992";"09.12.2002";"nein";"Welzower Str.";"";"03048";"Cottbus";"14,322828";"51,740765";"76";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"218";"No";"ST";"ST";"";"";"";"nein";"";"";"";"12052000";"Cottbus";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB007";"Elsterwerda";"Luftmessstation";"ELBA";"01.09.1992";"01.09.1992";"";"ja";"Lauchhammerstr.";"";"04910";"Elsterwerda";"13,526796";"51,462734";"89";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"216";"No";"";"";"";"";"Erster Messzyklus: 01.09.1992 bis 31.03.1998 Wiederinbetriebnahme:31.01.2007 nahezu am gleichen Standort";"nein";"";"";"";"12062124";"Elsterwerda";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBB008";"Finsterwalde";"Luftmessstation";"FIBA";"01.09.1995";"01.09.1995";"10.10.2000";"nein";"Bahnhofstr.";"";"03238";"Finsterwalde";"13,710116";"51,636483";"110";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"223";"No";"ST";"ST";"";"";"";"nein";"";"";"";"12062140";"Finsterwalde";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBB009";"Forst";"Luftmessstation";"FOHE";"01.01.1992";"01.01.1992";"31.12.2002";"nein";"Herrmannstr.";"";"03149";"Forst";"14,640592";"51,744028";"75";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"207";"No";"";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12071076";"Forst (Lausitz)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB010";"Guben";"Luftmessstation";"GUGA";"01.10.1992";"01.10.1992";"10.04.2000";"nein";"Gasstr.";"";"03172";"Guben";"14,712247";"51,948542";"46";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"210";"No";"";"ST";"mitgeteilte Inbetriebnahme später als in Jahresberichten";"";"";"nein";"";"";"";"12071160";"Guben";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBB011";"Hennigsdorf";"Luftmessstation";"HERA";"01.02.1991";"01.02.1991";"04.05.1995";"nein";"W.-Rathenau-Str.";"41";"16761";"Hennigsdorf";"13,203809";"52,636420";"32";"vorstädtisches Gebiet";"Hintergrund";"";"";"";"105";"No";"";"";"";"";"";"nein";"";"";"";"12065136";"Hennigsdorf";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
